artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres
Bass Santana,0.552,0.556,118361,0.64,0,0.215,-7.504,0.445,88.399,0.703,71,11,1,1,"['dark trap', 'miami hip hop', 'underground hip hop', 'vapor trap']"
Basshunter,0.060414286,0.5605,203239.9286,0.979714286,0.007788347,0.132785714,-5.905142857,0.182557143,137.8606429,0.425285714,44.71428571,9,1,14,"['bubblegum dance', 'dance pop', 'eurodance', 'europop']"
Bassnectar,0.002846143,0.529285714,295179.6429,0.777428571,0.238396714,0.314392857,-5.137071429,0.069992857,133.6302143,0.218942857,49.28571429,1,1,14,"['breakbeat', 'brostep', 'edm', 'electro house', 'electronic trap', 'glitch hop']"
Bassti,0.94,0.699,125934,0.117,0.109,0.14,-17.311,0.392,82.998,0.477,60,3,1,2,"['chillhop', 'lo-fi beats']"
Bastiaan Everink,0.839,0.294230769,233290.9231,0.420615385,0.317565385,0.154661538,-9.121692308,0.041423077,113.6793077,0.2829,0,10,1,13,[]
Bastille,0.175860541,0.632891892,215701.3514,0.761297297,0.000598636,0.21012973,-5.29127027,0.052002703,121.4965405,0.554216216,52.56756757,9,1,37,"['metropopolis', 'modern rock', 'pop', 'pop rock']"
Bastille Opera Orchestra,0.986,0.338,204033.5,0.124,2.25E-05,0.6515,-20.372,0.07815,68.3845,0.223,7,9,1,4,[]
Basu,0.651,0.688,345480,0.78,0,0.148,-7.717,0.132,121.689,0.907,36,3,0,2,[]
Bat For Lashes,0.0118,0.593,251120,0.658,0.0204,0.137,-8.393,0.0364,135.053,0.422,53,8,0,2,"['alternative dance', 'art pop', 'brighton indie', 'chamber psych', 'dream pop', 'electronica', 'electropop', 'etherpop', 'indie pop', 'indie rock', 'indietronica', 'metropopolis', 'neo-synthpop', 'new rave']"
Bathory,0.000716485,0.2596,274897.8667,0.8494,0.789006667,0.275193333,-8.1816,0.07266,121.5264667,0.232886667,33.86666667,11,1,30,"['autonomous black metal', 'black metal', 'black thrash', 'metal', 'old school thrash', 'pagan black metal', 'swedish black metal', 'swedish metal', 'symphonic black metal', 'viking black metal', 'viking metal']"
Baths,0.0196,0.743,198452,0.699,0.73,0.254,-6.438,0.147,95.001,0.704,50,8,1,2,"['art pop', 'chillwave', 'experimental pop', 'indietronica', 'nu gaze', 'wonky']"
Batmobile,0.100609,0.4445,189467,0.9315,0.01640825,0.3955,-8.529,0.0506,115.062,0.6995,34,11,1,4,"['psychobilly', ""punk 'n' roll"", 'rockabilly']"
Baton Rouge,0.00095,0.513,234200,0.848,0.00862,0.251,-9.428,0.0315,92.161,0.475,35,9,1,2,['glam metal']
Battleme,0.986,0.48,169347,0.141,0.00482,0.0604,-11.455,0.0546,119.531,0.155,46,9,0,2,['alternative roots rock']
Battles,0.000103,0.761,427200,0.721,0.0761,0.103,-5.529,0.0392,135.181,0.39,47,2,1,2,"['antiviral pop', 'comic']"
Bauhaus,0.073933643,0.479678571,258383.3214,0.640607143,0.134593386,0.231771429,-11.80028571,0.076239286,134.9508929,0.467939286,33.82142857,0,1,56,"['alternative rock', 'dance rock', 'dark wave', 'gothic rock', 'new wave', 'post-punk']"
Bavarian Radio Symphony Orchestra,0.933,0.258571429,497963.7143,0.153671429,0.6882,0.113942857,-21.88642857,0.042485714,101.503,0.165185714,22,4,1,7,"['classical', 'classical performance', 'orchestra', 'radio symphony']"
Bavarian State Orchestra,0.973233333,0.244766667,207215.0333,0.139123333,0.69946821,0.24814,-21.63053333,0.046633333,94.1337,0.139456667,8.066666667,2,1,30,"['classical', 'classical performance', 'orchestra', 'radio symphony']"
Bavgate,0.0983,0.827,227240,0.813,0,0.0413,-6.1,0.328,99.956,0.596,43,11,0,2,['hyphy']
Bay City Rollers,0.191688889,0.559666667,193274.4444,0.717666667,0.004031646,0.169155556,-9.657555556,0.051022222,132.7374444,0.797666667,42,7,1,18,"['bubblegum pop', 'classic uk pop']"
Bayan Sultan,0.993,0.4215,166724.5,0.176,0.8155,0.1415,-14.633,0.0728,103.599,0.5015,0,2,1,4,[]
Baybe,0.15005,0.746,245247.5,0.5445,0.001560895,0.476,-11.362,0.1575,96.208,0.7615,48,1,1,4,[]
Bayerischer Rundfunkchor,0.9795,0.193375,320675,0.2013875,0.019032875,0.2007375,-16.997375,0.0393375,96.1595,0.072525,0,10,1,8,[]
Bayerisches Rundfunkorchester,0.9714,0.2324,304407.2,0.213806667,0.010229521,0.22294,-16.35386667,0.04092,101.3872667,0.087806667,0,9,1,15,[]
Bayreuth Festival Orchestra,0.953736842,0.273881579,314377.0132,0.246778947,0.099392272,0.355378947,-17.94710526,0.068323684,95.49878947,0.163531579,0.052631579,0,1,76,"['classical performance', 'orchestra']"
Bayside,0.147608167,0.413166667,211189,0.748666667,0.0041,0.198833333,-6.223833333,0.11365,153.945,0.376,43.83333333,11,0,12,"['alternative emo', 'emo', 'pop punk', 'post-hardcore', 'screamo']"
Bazzi,0.332187222,0.679222222,161422.2778,0.575055556,9.24E-07,0.162544444,-5.978388889,0.068444444,119.7778889,0.471361111,72.41666667,9,1,36,"['pop', 'post-teen pop']"
Be Bop Deluxe,0.41,0.706,241227,0.613,1.01E-05,0.134,-7.876,0.0567,130.006,0.757,35,0,1,2,"['art rock', 'glam rock', 'progressive rock', 'pub rock', 'symphonic rock']"
Be More Chill,0.764,0.497,164400,0.474,0.000223,0.453,-7.279,0.044,133.934,0.493,52,3,1,2,[]
Bea Miller,0.26086,0.643714286,200179.3333,0.544952381,0.000288995,0.304857143,-6.752809524,0.071457143,109.530619,0.429142857,67.85714286,6,1,21,"['dance pop', 'electropop', 'indie poptimism', 'modern rock', 'pop', 'post-teen pop', 'talent show', 'viral pop']"
Bea Wain,0.868,0.545,178627,0.367,0.00325,0.176,-13.632,0.0519,180.106,0.931,21,3,1,2,['torch song']
Beach Bunny,0.000438667,0.376666667,172291,0.817333333,0.012437,0.126133333,-6.911333333,0.051866667,150.882,0.585666667,68.33333333,4,1,6,"['chicago indie', 'diy emo', 'indie pop']"
Beach Fossils,0.0961715,0.58475,175187.25,0.775,0.61348,0.17605,-7.105,0.039375,131.05775,0.60875,58.25,2,1,8,"['brooklyn indie', 'chillwave', 'indie garage rock', 'indie pop', 'indie rock', 'indie surf', 'indietronica', 'neo-psychedelic', 'nu gaze', 'popgaze', 'shoegaze']"
Beach Goons,0.0675,0.693,244928,0.439,0.496,0.112,-11.646,0.0276,113.942,0.273,55,4,1,2,"['indie garage rock', 'san diego indie', 'surf punk']"
Beach House,0.321897368,0.418736842,288128.4737,0.564157895,0.286339947,0.184352632,-7.966263158,0.030705263,128.3216842,0.307810526,49.84210526,2,1,38,"['art pop', 'baltimore indie', 'chillwave', 'dream pop', 'freak folk', 'indie pop', 'indie rock', 'indietronica', 'modern dream pop']"
Beach Top Sounders,0.56,0.1575,160029.5,0.9965,0.9155,0.9755,-17.554,0.0521,119.441,1.00E-05,58.5,2,1,4,['water']
Beanie Sigel,0.060119111,0.723933333,259517.3778,0.737955556,0.00489417,0.196773333,-6.218111111,0.305488889,98.94413333,0.606466667,41.84444444,1,0,45,"['battle rap', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
